Altium Designer Pick and Place Locations
D:\My Documents\Programming\Python\bomconverter\example\AD project\project outputs\Pick Place Output\Pick Place for PCB.csv

========================================================================================================================
File Design Information:

Date:       09.12.25
Time:       18:25
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation"
"VT4","TopLayer","SOT-23","-46.7736","-21.1998","0"
"VT5","TopLayer","SOT-23","40.7491","-17.9199","0"
"VT6","TopLayer","SOT-23","55.3241","-0.6998","0"
"VU1","TopLayer","SOP-4_2.54","-59.0000","17.0000","90"
"X1","TopLayer","15EDGRC-3.5-04P","-45.9180","-3.4242","0"
"X2","TopLayer","5035000993","101.0125","54.4125","90"
"X3","TopLayer","292303","43.0000","57.3650","90"
"ZC1","TopLayer","CMC_4SMD_4.50x3.20x2.80","-61.0257","-61.1498","0"
"ZF1","TopLayer","FBC_0603","46.9994","-17.3699","90"
"ZQ1","TopLayer","4-SMD_5032-1.1","-39.5733","-21.2999","0"
"ZQ2","TopLayer","2-SMD_3215-0.9","-57.7242","-20.3998","0"
