"Label","Quantity","Designator"
"CHS-01TA ф.†Copal Electronics Inc.","1","SA1"
"SWD-08L","1","SA2"
"MS-22D18 (движковый)","1","SA3"
"GPTS203211B ф.†CW Industries","1","SA4"
"SSSF012100","1","SA5"
"PN12SHNA03QE ф.†C&K","1","SA6"
"DTSM-61N ф.†Diptronics (кнопочный)","1","SB1"
"HX1188NL ф.†Pulse","1","T1"
"BAS316 (100†¬ Ц 250†мј Ц корпус†SOD-323)","1","VD1"
"BAT20JFILM (Ўоттки Ц 23†¬ Ц 1†ј Ц корпус†SOD-323)","1","VD2"
"BZT52H-B13 (13†¬†±†2†% Ц 830†м¬т Ц корпус†SOD-123F)","1","VD3"
"BB545E7904 ф.†Infineon","1","VD4"
"BAT54AFILM (Ўоттки Ц 40†¬ Ц 300†мј Ц корпус†SOT-23)","1","VD5"
"BAT54—FILM (Ўоттки Ц 40†¬ Ц 300†мј Ц корпус†SOT-23)","1","VD6"
"BAT54SFILM (Ўоттки Ц 40†¬ Ц 300†мј Ц корпус†SOT-23)","1","VD7"
"","1","VS1"
"TYN412RG ф.†STMicroelectronics (400¬ Ц 12ј Ц 15мј)","1","VS2"
"TMMDB3TG ф.†STMicroelectronics (двунаправ. Ц 32¬ Ц 2ј Ц 15мкј)","1","VS3"
"BTA24-600BWRG","1","VS4"
"BCR108 (бипол€рный цифровой)","1","VT1"
"IRLML2030","1","VT2"
"BC817","1","VT3"
"BCR158 (бипол€рный цифровой)","1","VT4"
"IRLML5103","1","VT5"
"BC807","1","VT6"
"LTV-357T","1","VU1"
"15EDGRC-3.5-04P ф.†Degson","1","X1"
"5035000993 ф.†Molex|доп.†замена 5035000991","1","X2"
"292303-1 ф.†TE Connectivity","1","X3"
"WCM4532F2SF-142T20-HI ф.†TAI-TECH Advanced Electronics Co., Ltd. (синф.†дроссель Ц 1,4†кќм†(100†ћ√ц) Ц 100†мќм Ц 2†ј)","1","ZC1"
"MMZ1608B102C ф.†TDK (фер.†бус. Ц чип†0603 Ц 1†кќм†±†25†%†(100†ћ√ц) Ц 600†мќм Ц 300†мј)","1","ZF1"
"FY0800018 ф.†Diodes Incorporated (кварц. Ц 8†ћ√ц†±†30†ppm Ц фунд. Ц 18†п‘ Ц 100†ќм Ц -40†Е†+85†∞C)","1","ZQ1"
"ABS07-32.768KHZ-T ф.†Abracon (кварц. Ц 32,768†к√ц†±†20†ppm Ц 12,5†п‘ Ц 70†кќм Ц -40†Е†+85†∞C)","1","ZQ2"
"520.517 ф.†ESKA Erich Schweizer (плавкий Ц цил.†5*20 Ц 1†ј Ц 0,2†ј^2с Ц 250†¬ Ц быстрый)|прим. один запасной","4",", "
"0215002.MXP ф.†Littlefuse (плавкий Ц цил.†5*20 Ц 2†ј Ц 11,68†ј^2с Ц 250†¬ Ц медленный)","1",""
"520.517 ф.†ESKA Erich Schweizer (плавкий Ц цил.†5*20 Ц 1†ј Ц 0,2†ј^2с Ц 250†¬ Ц быстрый)","1",""
"CR2032 (3†¬ Ц 225†мјч)","2",", "
"FK 231 SA 220 ф.†Fischer Elektronik (TO220 Ц 24 /¬т)","1",""
"15EDGK-3.5-04P-14 ф.†Degson","1",""
