"Label","Quantity","Designator"
"керам. Ц чип†0603 Ц X7R Ц 50†¬ Ц 0,082†мк‘†±†10†%","3","C22H, C23H, C24H"
"MOC3063M (детектор нул€)","1","DA1"
"TPS561201DDC ф.†Texas Instruments|доп.†замена TPS562201DDC ф.†Texas Instruments (огр. тока 2ј)|доп.†замена TPS563201DDC ф.†Texas Instruments (огр. тока 3ј)","1","DA2"
"LP5907MFX-3.3 ф.†Texas Instruments","1","DA3"
"SN74LVC1G126DBV ф.†Texas Instruments","1","DD1"
"SCM3725ASA ф.†MORNSUN","1","DD2"
"ECS-3225MV-250-CN ф.†ECS Inc. (кварц. Ц 25†ћ√ц†±†25†ppm Ц +85†Е†-40†∞C)","1","DD3"
"SMTSO-M2-2ET ф.†PEM (стойка Ц SMD Ц M2*0.4 Ц 2мм)","1","EF1"
"FK 244 13 D2 PAK ф.†Fischer Elektronik","1","ER1"
"MF-MSMF014 ф.†Bourns (самовосст. Ц 140†мј Ц 60†¬)","1","FP1"
"0451001. ф.†Littelfuse (плавкий Ц чип†2410 Ц 1†ј Ц 0,6029†ј^2с Ц быстрый)","1","FU1"
"ZH242 (держатель)","2","FU2, FU4"
"ZH250 (держатель)","2","FU3, FU5"
"SMAJ5.0A (супрессор Ц однонаправ. Ц 5†¬ Ц 400†¬т†(10†/†1000†мкс) Ц корпус†SMA)","1","FV1"
"SMBJ6.5CA (супрессор Ц двунаправ. Ц 6,5†¬ Ц 600†¬т†(10†/†1000†мкс) Ц корпус†SMB)","1","FV2"
"B72540T0400K062 ф.†TDK (варистор Ц чип†2220 Ц 68†¬ Ц 9†ƒж)","1","FV3"
"GSOT05C-E3-08 (супрессор Ц корпус†SOT-23 Ц сборка)","1","FV4"
"CDSOT23-T24CAN ф.†Bourns (супрессор Ц корпус†SOT-23 Ц сборка)","1","FV5"
"DS1092-04-B6P ф.†Connfly (держатель Ц CR2032)|доп.†замена BH-25F-1 ф.†Adam Tech|доп.†замена BS-7 ф.†Memory Protection Devices","1","GB1"
"CR 1/2 AA S PCBD ф.†VARTA","1","GB2"
"BR-2325/2HAN","1","GB3"
"BH-25F-1 ф.†Adam Tech (держатель Ц CR2032)|доп.†замена DS1092-04-B6P ф.†Connfly|доп.†замена BS-7 ф.†Memory Protection Devices","1","GB4"
"CC56-12SRWA ф.†Kingbright (сборка)","1","HG1"
"KP-1608F3C ф.†Kingbright (чип†0603 Ц инфракрасный Ц 940†нм Ц 150†∞)","1","HL1"
"KPT-1608SURCK (чип†0603 Ц красный Ц 645†/†630†нм Ц 230†мкд†(20†мј) Ц 120†∞)","1","HL2"
"KPA-3010CGCK (зелЄный Ц 574†/†570†нм Ц 50†мкд†(20†мј) Ц 120†∞)","1","HL3"
"KPT-1608QBC-D (чип†0603 Ц синий Ц 460†/†465†нм Ц 100†мкд†(20†мј) Ц 130†∞)","1","HL4"
"KPT-1608SYCK (чип†0603 Ц жЄлтый Ц 590†нм Ц 150†мкд†(20†мј) Ц 120†∞)","1","HL5"
"XPCWHT-L1-0000-008E5 ф.†Cree (белый Ц 4000†  Ц CRI†75 Ц 73,9†лм†(350†мј))","1","HL6"
"19-337C/RSBHGHC-A88/4T ф.†Everlight Electronics Co Ltd (многоцветный)","1","HL7"
"KPBDA-3020SURKCGKC-PF ф.†Kigbright (многоцветный Ц сборка)","1","HL8"
"AM23ESGW ф.†Kingbright (многоцветный Ц сборка)","1","HL9"
"чип†0402","1","J1"
"RZ03-1A4-D012 ф.†TE Connectivity","1","K1"
"T9GV2L24-12 ф.†TE Connectivity","1","K2"
"RT214012 ф.†TE Connectivity","1","K3"
"V23105A5476A201 ф.†TE Connectivity","1","K4"
"чип†1812 Ц 10†мк√н†±†10†% Ц 250†мј","4","L1, L3, L4, L5"
"SRU1048-470Y ф.†Bourns (10x10x5.1 Ц 47†мк√н†±†30†% Ц 1,5†ј)","4","L2, L6, L7, L8"
"SRN6045TA-2R2Y ф.†Bourns (6x6x4.5 Ц 2,2†мк√н†±†30†% Ц 6†ј)","2","L9, L10"
"SRR0604-100ML ф.†Bourns (6.5x6.5x4.8 Ц 10†мк√н†±†20†% Ц 1,3†ј)","1","L11"
"чип†0603 Ц 10†кќм†±†5†%","1","R1"
"чип†0603 Ц 47†кќм†±†0,5†% Ц ±†25†ppm/∞C","1","R2"
"RV0805JR-071ML ф.†YAGEO (чип†0805 Ц 400†¬ Ц 1†ћќм†±†5†%)","1","R3"
"чип†0402 Ц 0†ќм†±†5†%","1","R4"
"чип†0603 Ц 100†кќм†±†1†%","4","R5, R6, R7, R8"
"чип†0603 Ц 200†кќм†±†1†%","1","R9"
"чип†0603 Ц 300†кќм†±†1†%","4","R10, R11, R12, R13"
"чип†0603 Ц 470†кќм†±†5†%","1","R14"
"чип†0603 Ц 1†кќм†±†1†%","36","R15A, R15B, R15C, R15D, R15E, R15F, R15G, R15H, R16A, R16B, R16C, R16D, R16E, R16F, R16G, R16H, R17A, R17B, R17C, R17D, R17E, R17F, R17G, R17H, R18A, R18B, R18C, R18D, R19A, R19B, R19C, R19D, R20A, R20B, R20C, R20D"
"чип†0603 Ц 4,7†кќм†±†1†%","12","R18E, R18F, R18G, R18H, R19E, R19F, R19G, R19H, R20E, R20F, R20G, R20H"
"NCP18XQ102J03RB ф.†Murata (термо Ц чип†0603 Ц 1†кќм†±†5†%)","1","RK1"
"TFPT0805L1000FV ф.†Vishay (термо Ц чип†0805 Ц 100†ќм†±†1†%)","1","RK2"
"3006P-1-103 ф.†Bourns (перем. Ц 10†кќм†±†10†% Ц подстроечный Ц лин. хар-ка)","1","RP1"
"CHS-01TA ф.†Copal Electronics Inc.","1","SA1"
"SWD-08L","1","SA2"
"MS-22D18 (движковый)","1","SA3"
"GPTS203211B ф.†CW Industries","1","SA4"
"SSSF012100","1","SA5"
"PN12SHNA03QE ф.†C&K","1","SA6"
"DTSM-61N ф.†Diptronics (кнопочный)","1","SB1"
"HX1188NL ф.†Pulse (сборка)","1","T1"
"BAS316 (общ.†прим. Ц 100†¬ Ц 250†мј Ц корпус†SOD-323)","1","VD1"
"BAT20JFILM (Ўоттки Ц 23†¬ Ц 1†ј Ц корпус†SOD-323)","1","VD2"
"BZT52H-B13 (стабилитрон Ц 13†¬†±†2†% Ц 830†м¬т Ц корпус†SOD-123F)","1","VD3"
"BB545E7904 ф.†Infineon (варикап Ц корпус†SOD-323)","1","VD4"
"BAT54AFILM (Ўоттки Ц 40†¬ Ц 300†мј Ц корпус†SOT-23 Ц сборка)","1","VD5"
"BAT54—FILM (Ўоттки Ц 40†¬ Ц 300†мј Ц корпус†SOT-23 Ц сборка)","1","VD6"
"BAT54SFILM (Ўоттки Ц 40†¬ Ц 300†мј Ц корпус†SOT-23 Ц сборка)","1","VD7"
"","1","VS1"
"TYN412RG ф.†STMicroelectronics (400¬ Ц 12ј Ц 15мј)","1","VS2"
"K2500SRP ф.†Littelfuse Inc. (двунаправ.)","1","VS3"
"BTA24-600BWRG","1","VS4"
"BCR108 (бипол€рный цифровой)","1","VT1"
"IRLML2030","1","VT2"
"BC817","1","VT3"
"BCR158 (бипол€рный цифровой)","1","VT4"
"IRLML5103","1","VT5"
"BC807","1","VT6"
"LTV-357T","1","VU1"
"15EDGRC-3.5-04P ф.†Degson","1","X1"
"5035000993 ф.†Molex|доп.†замена 5035000991","1","X2"
"292303-1 ф.†TE Connectivity","1","X3"
"WCM4532F2SF-142T20-HI ф.†TAI-TECH Advanced Electronics Co., Ltd. (синф.†дроссель Ц 1,4†кќм†(100†ћ√ц) Ц 100†мќм Ц 2†ј)","1","ZC1"
"MMZ1608B102C ф.†TDK (фер.†бус. Ц чип†0603 Ц 1†кќм†±†25†%†(100†ћ√ц) Ц 600†мќм Ц 300†мј)","1","ZF1"
"FY0800018 ф.†Diodes Incorporated (кварц. Ц 8†ћ√ц†±†30†ppm Ц фунд. Ц +85†Е†-40†∞C Ц 18†п‘ Ц 100†ќм)","1","ZQ1"
"ABS07-32.768KHZ-T ф.†Abracon (кварц. Ц 32,768†к√ц†±†20†ppm Ц +85†Е†-40†∞C Ц 12,5†п‘ Ц 70†кќм)","1","ZQ2"
"520.517 ф.†ESKA Erich Schweizer (плавкий Ц 1†ј Ц 0,2†ј^2с Ц 250†¬ Ц быстрый)|прим. один запасной","4",""
"0215002.MXP ф.†Littlefuse (плавкий Ц 2†ј Ц 11,68†ј^2с Ц 250†¬ Ц медленный)","1",""
"520.517 ф.†ESKA Erich Schweizer (плавкий Ц 1†ј Ц 0,2†ј^2с Ц 250†¬ Ц быстрый)","1",""
"CR2032 (3†¬ Ц 225†мјч)","2",""
"FK 231 SA 220 ф.†Fischer Elektronik (TO220 Ц 24 /¬т)","1",""
"15EDGK-3.5-04P-14 ф.†Degson","1",""
