"ѕоз. ќбозначение","Ќаименование"," ол.","ѕримечание"
"L2","SRU1048-470Y ф.†Bourns (47мк√н†±30%, 1.5ј)","1",""
"L3ЦL5","чип†1812, 10мк√н†±10%, 250мј","3",""
"L6","SRU1048-470Y ф.†Bourns (47мк√н†±30%, 1.5ј)","1",""
"L7","SRU1048-470Y ф.†Bourns (47мк√н†±30%, 1.5ј)","1","не устанавливать"
"L8","SRU1048-470Y ф.†Bourns (47мк√н†±30%, 1.5ј)","1",""
"L9, L10","SRN6045TA-2R2Y ф.†Bourns (2.2мк√н†±30%, 6ј)","2",""
"L11","SRR0604-100ML ф.†Bourns (10мк√н†±20%, 1.3ј)","1","не устанавливать"
"L12","SRN6045TA-2R2Y ф.†Bourns (2.2мк√н†±30%, 6ј)","1",""
"","","",""
"","–езисторы","",""
"R1","чип†0603, 10кќм†±5%","1",""
"R2","чип†0603, 47кќм†±0.5%, ±25ppm/∞C","1",""
"R3","RV0805JR-071ML ф.†YAGEO (чип†0805, 400¬, 10кќм†±5%)","1",""
"R4","чип†0603, 100кќм†±5%","1",""
"R5","чип†0603, 100кќм†±5%","1","не устанавливать"
"R6","чип†0603, 100кќм†±5%","1",""
"R7, R8","чип†0603, 200кќм†±5%","2",""
"R9, R10","чип†0603, 300кќм†±5%","2",""
"R11","чип†0603, 300кќм†±5%","1","не устанавливать"
"R12","чип†0603, 300кќм†±5%","1",""
"R13","чип†0603, 470кќм†±5%","1",""
"","","",""
"R14B","чип†0603, 2кќм†±1%","1",""
"R14C","чип†0603, 3кќм†±1%","1",""
"R14D","чип†0603, 4.3кќм†±1%","1",""
"R14E","чип†0603, 5.1кќм†±1%","1",""
"R14F","чип†0603, 6.2кќм†±1%","1",""
"R14G","чип†0603, 7.5кќм†±1%","1",""
"R14H","чип†0603, 1кќм†±1%","1","не устанавливать"
"R14A","чип†0603, 1кќм†±1%","1",""
"","","",""
"R15A","чип†0603, 1кќм†±1%","1",""
"R15B","чип†0603, 2кќм†±1%","1",""
"R15C","чип†0603, 3кќм†±1%","1",""
"R15D","чип†0603, 4.3кќм†±1%","1",""
"R15E","чип†0603, 5.1кќм†±1%","1",""
"R15F","чип†0603, 6.2кќм†±1%","1",""
"R15G","чип†0603, 7.5кќм†±1%","1",""
"R15H","чип†0603, 1кќм†±1%","1","не устанавливать"
"","","",""
"R16B","чип†0603, 2кќм†±1%","1",""
"R16A","чип†0603, 1кќм†±1%","1",""
"R16C","чип†0603, 3кќм†±1%","1",""
"R16D","чип†0603, 4.3кќм†±1%","1",""
"R16F","чип†0603, 6.2кќм†±1%","1",""
"R16G","чип†0603, 7.5кќм†±1%","1",""
"R16E","чип†0603, 5.1кќм†±1%","1",""
"R16H","чип†0603, 1кќм†±1%","1","не устанавливать"
"","","",""
"R17H","чип†0603, 1кќм†±1%","1","не устанавливать"
"R17E","чип†0603, 5.1кќм†±1%","1",""
"R17B","чип†0603, 2кќм†±1%","1",""
"R17G","чип†0603, 7.5кќм†±1%","1",""
"R17A","чип†0603, 1кќм†±1%","1",""
"R17F","чип†0603, 6.2кќм†±1%","1",""
"R17C","чип†0603, 3кќм†±1%","1",""
"R17D","чип†0603, 4.3кќм†±1%","1",""
"","","",""
"R18H","чип†0603, 1кќм†±1%","1","не устанавливать"
"R18A","чип†0603, 1кќм†±1%","1",""
"R18B","чип†0603, 2кќм†±1%","1",""
"R18C","чип†0603, 3кќм†±1%","1",""
"R18D","чип†0603, 4.3кќм†±1%","1",""
"R18G","чип†0603, 7.5кќм†±1%","1",""
"R18E","чип†0603, 5.1кќм†±1%","1",""
"R18F","чип†0603, 6.2кќм†±1%","1",""
"","","",""
"R19D","чип†0603, 4.3кќм†±1%","1",""
"R19A","чип†0603, 1кќм†±1%","1",""
"R19F","чип†0603, 6.2кќм†±1%","1",""
"R19E","чип†0603, 5.1кќм†±1%","1",""
"R19H","чип†0603, 1кќм†±1%","1","не устанавливать"
"R19B","чип†0603, 2кќм†±1%","1",""
"R19G","чип†0603, 7.5кќм†±1%","1",""
"R19C","чип†0603, 3кќм†±1%","1",""
"","","",""
"RK1","NCP18XQ102J03RB ф.†Murata (чип†0603, 1кќм†±5%)","1",""
"RK2","TFPT0805L1000FV ф.†Vishay (чип†0805, 100ќм†±1%)","1",""
"RP1","3006P-1-103 ф.†Bourns (10кќм†±10%, , подстроечный, лин. хар-ка)","1",""
"","","",""
"","”стройства коммутационные","",""
"SA1","CHS-01TA ф.†Copal Electronics Inc.","1",""
"SA2","SWD-08L","1",""
"SA3","MS-22D18 (движковый)","1",""
"SA4","GPTS203211B ф.†CW Industries","1",""
"SA5","SSSF012100","1",""
"SA6","PN12SHNA03QE ф.†C&K","1",""
"SB1","DTSM-61N ф.†Diptronics (кнопочный)","1",""
"","","",""
"T1","“рансформатор HX1188NL ф.†Pulse","1",""
"","","",""
"","ƒиоды","",""
"VD1","BAS316 (100¬, 250мј, корпус†SOD-323)","1",""
"VD2","BAT20JFILM (Ўоттки, 23¬, 1ј, корпус†SOD-323)","1",""
"VD3","BZT52H-B13 (13¬†±2%, 830м¬т, корпус†SOD-123F)","1",""
"VD4","BB545E7904 ф.†Infineon","1",""
"VD5","BAT54AFILM (Ўоттки, 40¬, 300мј, корпус†SOT-23)","1",""
"VD6","BAT54—FILM (Ўоттки, 40¬, 300мј, корпус†SOT-23)","1",""
"VD7","BAT54SFILM (Ўоттки, 40¬, 300мј, корпус†SOT-23)","1",""
"","","",""
"","“иристоры","",""
"VS1","","1",""
"VS2","TYN412RG ф.†STMicroelectronics (400¬, 12ј, 15мј)","1",""
"VS3","TMMDB3TG ф.†STMicroelectronics (двунаправ., 32¬, 2ј, 15мкј)","1",""
"VS4","BTA24-600BWRG","1",""
"","","",""
"","“ранзисторы","",""
"VT1","BCR108 (бипол€рный цифровой)","1",""
"VT2","IRLML2030","1",""
"VT3","BC817","1",""
"VT4","BCR158 (бипол€рный цифровой)","1",""
"VT5","IRLML5103","1",""
"VT6","BC807","1",""
"","","",""
"VU1","ќптопара LTV-357T","1",""
"","","",""
"","—оединители","",""
"X1","15EDGRC-3.5-04P ф.†Degson","1",""
"X2","5035000993 ф.†Molex|доп.†замена 5035000991","1",""
"X3","292303-1 ф.†TE Connectivity","1",""
"","","",""
"","‘ильтры","",""
"ZC1","WCM4532F2SF-142T20-HI ф.†TAI-TECH Advanced Electronics Co., Ltd. (синф.†дроссель, 1.4кќм†[100ћ√ц], 100мќм, 2ј)","1",""
"ZF1","MMZ1608B102C ф.†TDK (фер.†бус., чип†0603, 1кќм†±25%†[100ћ√ц], 600мќм, 300мј)","1",""
"ZQ1","FY0800018 ф.†Diodes Incorporated (кварц., 8ћ√ц†±30ppm, фунд., 18п‘, 100ќм, -40Е+85∞C)","1",""
"ZQ2","ABS07-32.768KHZ-T ф.†Abracon (кварц., 32.768к√ц†±20ppm, 12.5п‘, 70кќм, -40Е+85∞C)","1",""
"","","",""
"","—опутствующие элементы","",""
"","Ѕатаре€ CR2032 (3¬, 225мјч)","2","дл€ GB3, GB4"
"","ѕредохранитель 0215002.MXP ф.†Littlefuse (плавкий, цил.†5*20, 2ј, 11.68ј^2с, 250¬, медленный)","1","дл€ FU3"
"","ѕредохранитель 520.517 ф.†ESKA Erich Schweizer (плавкий, цил.†5*20, 1ј, 0.2ј^2с, 250¬, быстрый)","4","дл€ FU2, FU4; один запасной"
"","ѕредохранитель 520.517 ф.†ESKA Erich Schweizer (плавкий, цил.†5*20, 1ј, 0.2ј^2с, 250¬, быстрый)","1","дл€ FU5"
"","–адиатор FK 231 SA 220 ф.†Fischer Elektronik (TO220, 24 /¬т)","1","дл€ VS4"
"","—оединитель 15EDGK-3.5-04P-14 ф.†Degson","1","дл€ X1"
